Date,Open,High,Low,Close,Adj Close,Volume,Signal
2025-12-05,20.44,20.97,20.32,20.61,20.61,52975100,Hold
2025-12-04,20.19,20.61,19.79,20.57,20.57,69119900,Hold
2025-12-03,18.67,20,18.58,19.92,19.92,96005400,Hold
2025-12-02,18.58,19.07,17.81,18.41,18.41,71937900,Hold
2025-12-01,18.09,18.8,18.08,18.49,18.49,65637600,Hold
2025-11-28,18.22,18.75,18.19,18.52,18.52,47379500,Hold
2025-11-26,18.02,18.26,17.43,18.23,18.23,91684300,Hold
2025-11-25,17.23,17.74,16.52,17.64,17.64,89433900,Buy
2025-11-24,16.28,17.82,16.2,17.49,17.49,119150800,
2025-11-21,16.32,16.35,14.85,15.43,15.43,148480400,
2025-11-20,17.37,18.53,15.74,15.77,15.77,180974300,
2025-11-19,16.69,17.14,16.07,16.51,16.51,104167200,
2025-11-18,16.63,16.93,15.67,16.29,16.29,115744500,
2025-11-17,16.1,18.16,16.1,16.92,16.92,139046200,
2025-11-14,15.09,17.19,14.81,16.58,16.58,178500000,
2025-11-13,18.24,18.36,15.92,16.38,16.38,176793000,
2025-11-12,19.95,19.96,18.55,18.91,18.91,86617100,
2025-11-11,19.7,19.98,19.07,19.69,19.69,76612000,
2025-11-10,19.76,20.62,19.2,20.23,20.23,97261700,
2025-11-07,19.64,19.65,18.18,18.87,18.87,145856900,
2025-11-06,21.92,22.43,19.38,20.41,20.41,170803900,
2025-11-05,21.02,22.31,20,21.92,21.92,110185200,
2025-11-04,21.28,21.86,20.3,20.34,20.34,123444000,
2025-11-03,21.49,23.18,21.29,22.64,22.64,123843900,
2025-10-31,20.67,21.65,20.38,21.54,21.54,117492300,
2025-10-30,21.1,21.49,20.02,20.06,20.06,116802300,
2025-10-29,22.22,22.51,21.26,22.09,22.09,116149600,
2025-10-28,21.49,22.64,21.2,22.02,22.02,140984600,
2025-10-27,20.14,21.97,20.03,21.25,21.25,167965100,
2025-10-24,20.82,21.26,19.3,19.59,19.59,127312600,
2025-10-23,18.4,21.06,17.91,21.01,21.01,185446500,
2025-10-22,20.53,20.73,19.21,20.1,20.1,122190100,
2025-10-21,20.74,21.08,20.41,20.46,20.46,69578000,
2025-10-20,20.61,21.14,20.3,20.91,20.91,88612900,
2025-10-17,18.96,20.37,18.78,20.17,20.17,132612800,
2025-10-16,19.81,20.22,18.58,19.24,19.24,115431300,
2025-10-15,19.83,20.33,19.05,19.84,19.84,101087000,
2025-10-14,19.09,19.77,18.29,19.3,19.3,112071100,
2025-10-13,18.86,20.01,18.53,19.89,19.89,106128000,
2025-10-10,20.12,20.72,17.8,17.96,17.96,211717900,
2025-10-09,19.68,20.09,19.16,20.01,20.01,102666500,
2025-10-08,20.23,20.57,19.09,20.31,20.31,123330800,
2025-10-07,21.25,21.7,19.76,19.83,19.83,172015600,
2025-10-06,20.63,21.78,20.25,21.75,21.75,145389900,
2025-10-03,20.87,21.19,18.4,19.63,19.63,197646600,
2025-10-02,23.61,23.62,20.2,20.22,20.22,238644100,
2025-10-01,21.03,22.77,20.75,22.5,22.5,125507200,
2025-09-30,20.83,21.15,20.03,21.11,21.11,104288200,
2025-09-29,21.1,21.7,20.64,20.98,20.98,120008100,
2025-09-26,19.64,20.72,18.99,20.71,20.71,138504400,
2025-09-25,20.32,20.33,18.8,19.19,19.19,156797200,
2025-09-24,19.86,21.17,19.79,21.03,21.03,128413500,
2025-09-23,0.089 Dividend,,,,,,
2025-09-23,20.83,20.93,19.3,19.5,19.5,124061000,
2025-09-22,20.09,21.37,19.92,20.35,20.26,155988700,
2025-09-19,19.26,19.94,19.24,19.63,19.54,110268600,
2025-09-18,19.93,20.23,18.78,18.79,18.71,165189100,Sell
2025-09-17,18.73,19.86,18.18,19.64,19.55,195977900,
2025-09-16,18.63,19.4,18.38,19.25,19.17,163431700,
2025-09-15,19.38,19.58,17.58,18.21,18.13,328268500,
2025-09-12,15.02,17.08,14.98,17.03,16.96,276888900,
2025-09-11,13.46,14.85,13.25,14.83,14.77,174602300,
2025-09-10,13.49,13.91,13.14,13.26,13.2,122529200,
2025-09-09,13.32,13.49,12.97,13.2,13.14,81849000,
2025-09-08,13.81,14.09,13.05,13.16,13.1,107063800,
2025-09-05,13.29,13.88,13.05,13.51,13.45,194801400,
2025-09-04,12.44,12.63,12.1,12.61,12.55,91197800,
2025-09-03,12.36,12.96,11.89,12.28,12.23,124770700,
2025-09-02,11.87,12.25,11.69,11.95,11.9,105721200,
2025-08-29,13.31,13.42,12.12,12.29,12.24,118810400,
2025-08-28,13.61,13.81,12.78,13.2,13.14,105252100,
2025-08-27,13.7,13.95,13.48,13.5,13.44,96322400,
2025-08-26,13.15,13.68,13.06,13.67,13.61,95928800,
2025-08-25,12.69,13.5,12.42,13.28,13.22,132969700,
2025-08-22,11.5,12.8,11.36,12.8,12.74,148611600,
2025-08-21,11.54,11.74,11.3,11.41,11.36,83190700,
2025-08-20,12.06,12.22,11,11.68,11.63,136039300,
2025-08-19,12.56,12.91,11.97,12.07,12.02,117597400,
2025-08-18,12.12,12.59,12.12,12.51,12.46,91316100,
2025-08-15,12.71,12.84,11.92,12.19,12.14,116514300,
2025-08-14,12.58,12.94,12.18,12.55,12.5,135078500,
2025-08-13,13.03,13.59,12.78,12.86,12.8,134575600,
2025-08-12,13.31,13.31,12.38,12.96,12.9,151562100,
2025-08-11,12.55,13.4,12.49,12.84,12.78,163142200,
2025-08-08,11.57,12.54,11.53,12.13,12.08,149972200,
2025-08-07,11.46,11.64,11.2,11.61,11.56,105590600,
2025-08-06,10.64,11.5,10.58,11.46,11.41,121891300,
2025-08-05,10.72,10.96,10.48,10.7,10.65,96279800,
2025-08-04,10.73,10.94,10.33,10.73,10.68,132502000,
2025-08-01,10.54,10.76,9.97,10.32,10.27,167921700,
2025-07-31,11.52,11.64,10.54,10.68,10.63,163233800,
2025-07-30,11.7,11.87,10.94,11.47,11.42,127387600,
2025-07-29,11.97,12,11.42,11.64,11.59,123076100,
2025-07-28,11.44,12.31,11.26,11.95,11.9,186198000,
2025-07-25,10.78,11.8,10.74,11.27,11.22,212392700,
2025-07-24,10.93,10.93,10.2,10.54,10.49,284183600,
2025-07-23,12.5,12.9,12.34,12.66,12.6,173959000,
2025-07-22,12.43,12.84,11.81,12.59,12.53,172328400,
2025-07-21,12.78,13.05,12.21,12.33,12.28,118440400,
2025-07-18,11.85,12.5,11.82,12.4,12.35,142960900,
2025-07-17,11.95,12.04,11.51,11.67,11.62,112091900,
2025-07-16,11.22,11.98,11.22,11.84,11.79,157640800,
2025-07-15,11.73,11.84,11.06,11.07,11.02,121065300,
2025-07-14,11.59,11.94,11.23,11.53,11.48,113094100,
